web-scraper-order,web-scraper-start-url,Details,superficie,addresse,prix,image_lien-src
"1705965995-163","https://www.expat-dakar.com/terrains-a-vendre?page=38","Terrain lac rose à vendre","150 m²","Lac Rose,
Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/a5ebf4e4cefd35ae7353cb19e0cc6de7/-/horizon-files-prod/ed/picture/qdekdxm4/261586bb9978345e2c810f3db40a1ff37df2c5a0.jpg"
"1705965995-164","https://www.expat-dakar.com/terrains-a-vendre?page=38","Terrain à vendre à Saly Joseph","600 m²","Saly,
Thiès","42 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/ea8c0c66393135ded8a21021b3e0c277/-/horizon-files-prod/ed/picture/qm5pv8zw/b6db159ec719a033256cc66ce4781bf6f6cd7d35.jpg"
"1705965995-165","https://www.expat-dakar.com/terrains-a-vendre?page=38","Terrain de 628 m2 en première ligne mer à pointe sarene","628 m²","Pointe Sarene,
Thiès","115 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/3321d03547cee2a351b5ace6b6e83113/-/horizon-files-prod/ed/picture/q8v5kqjx/e0e484c9ddfa7d35dd2e04ca7aee41edec27d5fb.jpg"
"1705965995-166","https://www.expat-dakar.com/terrains-a-vendre?page=38","Terrain pied dans l'eau à vendre à La Somone.","","Somone,
Thiès","190 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/5cdc96708e14566559e3c77ba03891d5/-/horizon-files-prod/ed/picture/qeezeek/bd0935aac59518971ac6152127358c9c2b16a6ef.jpg"
"1705965995-167","https://www.expat-dakar.com/terrains-a-vendre?page=38","Terrain de 6957m2 à vendre à Ngaparou","6,957 m²","Ngaparou,
Thiès","222 640 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/bc7635fbc8e2364b4c4ccbd409f335fa/-/horizon-files-prod/ed/picture/qnrjexe/d374498a60ff054f731672b0b428c1b6bcd701c5.jpg"
"1705965995-168","https://www.expat-dakar.com/terrains-a-vendre?page=38","VENTE TERRAIN LOTISSEMENT RUFISQUE 2","150 m²","Rufisque,
Dakar","15 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/4208742f593c6cba999c995c5dd8170e/-/horizon-files-prod/ed/picture/q0gw8q0z/e29d2309a1d0b352ca696e585d03113d414d896a.jpg"
"1705965995-169","https://www.expat-dakar.com/terrains-a-vendre?page=38","Terrain à vendre Almadies","2,071 m²","Almadies,
Dakar","1 350 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/5661a2ed0b68ae3f630d6d9ead684d2b/-/horizon-files-prod/ed/picture/q6xkrqm6/ce8aec0d185268bf47fd0b173b41cfcca9c2ee68.jpg"
"1705966015-170","https://www.expat-dakar.com/terrains-a-vendre?page=37","Terrains lotissement Cité Douanes VDN3","150 m²","Guediawaye,
Dakar","29 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/34c3d3103bd08d63e5d462465eb56a1a/-/horizon-files-prod/ed/picture/qkrgqqmp/2766d8eba7fe60c2d8bd01a90fb5df01f1eed299.jpg"
"1705966015-171","https://www.expat-dakar.com/terrains-a-vendre?page=37","Terrain 611m Ngaparou","611 m²","Ngaparou,
Thiès","36 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/d803a110745ee60617a9b776961a2545/-/horizon-files-prod/ed/picture/q8v5nd69/d05cc1438ce76ec0898312cabcf9e88af84af9c2.jpg"
"1705966015-172","https://www.expat-dakar.com/terrains-a-vendre?page=37","","","","",""
"1705966015-173","https://www.expat-dakar.com/terrains-a-vendre?page=37","Terrain 180 m2 à vendre Saly Joseph","180 m²","Saly,
Thiès","8 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/edfc6bc0168a28e8287deb3b47350d3d/-/horizon-files-prod/ed/picture/qzvdrwkv/b01099cfe26a9c197221d285c79126ad671c3a7a.jpg"
"1705966015-174","https://www.expat-dakar.com/terrains-a-vendre?page=37","TERRAIN ANGLE EN VENTE CITÉ KEUR GORGUI","521 m²","Cité keur gorgui,
Dakar","1 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/71ae9ada6e2df1b11283997dd6948c70/-/horizon-files-prod/ed/picture/q56xp2q6/9d7842d295b821cf65de163a48757b80508894ae.jpg"
"1705966015-175","https://www.expat-dakar.com/terrains-a-vendre?page=37","Lots de terrains près de la cite Apix","155 m²","Tivaouane peulh,
Dakar","110 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/ecbc63ec00df8cb58f9a6176069c3706/-/horizon-files-prod/ed/picture/qxj6qzdz/dd63e661ee337ad1c5f055fb5af7dd3bb2bdd113.jpg"
"1705966015-176","https://www.expat-dakar.com/terrains-a-vendre?page=37","Titre global","150 m²","Hann maristes,
Dakar","58 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/249cec7fb306f9a1d7c25872144f1e3c/-/horizon-files-prod/ed/picture/qzvdzd59/44ab3c49957f0dc778b5abf5bb04a10d00b2b9a3.jpg"
"1705966015-177","https://www.expat-dakar.com/terrains-a-vendre?page=37","Terrain à vendre à la cité keur Gorgui","1,000 m²","Cité keur gorgui,
Dakar","1 250 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/4466d45f0d84eacb7ccf33ec068163ba/-/horizon-files-prod/ed/picture/q6xkrvvd/6ee038e7f73f2e99635f6b8733d8ea6a226306d6.jpg"
"1705966015-178","https://www.expat-dakar.com/terrains-a-vendre?page=37","Terrains à vendre : Guéréo,","","Guereo,
Thiès","50 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/455ac0633521dce5c0f8fef74083f408/-/horizon-files-prod/ed/picture/q8v594zn/d70940bcd6ef6fca5dba4229c424362927b703ff.jpg"
"1705966015-179","https://www.expat-dakar.com/terrains-a-vendre?page=37","Très bon terrain de 176m2 anglesis à boa (almadie)","176 m²","Almadies,
Dakar","85 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/951e4436920db9a241118d3c380ae591/-/horizon-files-prod/ed/picture/qenqxv9j/c754d2f001b9043b1bcd688b5b40ddaac87e4716.jpg"
"1705966015-180","https://www.expat-dakar.com/terrains-a-vendre?page=37","Terrain TFI à vendre à Zac Mbao","194 m²","Zac Mbao,
Dakar","37 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/0e45d9d200b70f1b6cc7d92276bf3888/-/horizon-files-prod/ed/picture/qxj28vmj/d17b8240f3bbb4dd1222dd81fa94acda41b8806d.jpg"
"1705966015-181","https://www.expat-dakar.com/terrains-a-vendre?page=37","Terrain à vendre","20,000 m²","Sebikotane,
Dakar","1 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/9faff1f63c16a5d1076e5632d88a4962/-/horizon-files-prod/ed/picture/qdek2k40/d5a26f60dd22524189f9b5361509d01f43ddfec5.jpg"
"1705966015-182","https://www.expat-dakar.com/terrains-a-vendre?page=37","Vente Terrain 300m2 Mamelles cité Mackiyou Faye","300 m²","Mamelles,
Dakar","190 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/dc52f33e648e9faf0e46b81b7f1e7135/-/horizon-files-prod/ed/picture/qenqpxx5/6ca68e865aa908eb4990b88f3af78964f77e9f8e.jpg"
"1705966036-183","https://www.expat-dakar.com/terrains-a-vendre?page=36","Terrains lotissement Cité Douanes VDN3","150 m²","Guediawaye,
Dakar","29 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/34c3d3103bd08d63e5d462465eb56a1a/-/horizon-files-prod/ed/picture/qkrgqqmp/2766d8eba7fe60c2d8bd01a90fb5df01f1eed299.jpg"
"1705966036-184","https://www.expat-dakar.com/terrains-a-vendre?page=36","Terrain pied dans l'eau Virage","872 m²","Virage,
Dakar","700 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/a53bbf0c754848be210ea018141b85bb/-/horizon-files-prod/ed/picture/qkrg6dev/889ca5152bb9745e6b6894a0c3d9f01b726182e5.jpg"
"1705966036-185","https://www.expat-dakar.com/terrains-a-vendre?page=36","","","","",""
"1705966036-186","https://www.expat-dakar.com/terrains-a-vendre?page=36","Terrain bail sur la vdn 3","150 m²","Parcelles Assainies,
Dakar","30 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/4fc71de1e6a6ab8f248e6008d722f0e2/-/horizon-files-prod/ed/picture/qngx0zxg/4270d8a7a6e58e584dd80592d2d769986455d2f0.jpg"
"1705966036-187","https://www.expat-dakar.com/terrains-a-vendre?page=36","Terrain à vendre Keur Moussa","150 m²","Thiès,
Thiès","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/6acc00f570cd8c30c98cf69275a40e60/-/horizon-files-prod/ed/picture/qkrgx0n2/bf8df78195b505d54c963de1e937a801a0306ac5.jpg"
"1705966036-188","https://www.expat-dakar.com/terrains-a-vendre?page=36","Surface 10hectares à vendre","","Yene,
Dakar","2 000 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/4bc1c560fca29e00c43bbcc9ac1153d5/-/horizon-files-prod/ed/picture/q448r9kv/ca9ab498fa52b71d7cb39be2186e2bf9665405d5.jpg"
"1705966036-189","https://www.expat-dakar.com/terrains-a-vendre?page=36","Terrain à vendre à Point E","668 m²","Point-e,
Dakar","868 400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/aea339e818839d361a0643f41f077004/-/horizon-files-prod/ed/picture/q6xkrmzg/5e48a38dbda70a4986cc86a4eb63857f16552f54.png"
"1705966036-190","https://www.expat-dakar.com/terrains-a-vendre?page=36","Terrain 200m2 angle à vendre Almadies","200 m²","Almadies,
Dakar","95 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/a8997ce2593cbca0404a3e84e9c98b76/-/horizon-files-prod/ed/picture/qr0mkng/644a5e177470977cd8555f978c639ffa0700716c.jpg"
"1705966036-191","https://www.expat-dakar.com/terrains-a-vendre?page=36","Terrain 1ha","15,000 m²","Somone,
Thiès","225 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/d5824f6660a58fa74fca16ada87ade65/-/horizon-files-prod/ed/picture/qgq9ddz9/0e3bfb8299e513178d62a2def74595c2a0e748cf.jpg"
"1705966036-192","https://www.expat-dakar.com/terrains-a-vendre?page=36","Terrain de 300 m2 à vendre à Nianing Gandiol","300 m²","Nianing,
Thiès","7 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/7d352b082ce7b10c881163c17d2d2198/-/horizon-files-prod/ed/picture/q8v5999j/77d943ea2aa2c971fb61d5120466066b2944d63a.jpg"
"1705966036-193","https://www.expat-dakar.com/terrains-a-vendre?page=36","Terrain Diamniadio site résidentiel","150 m²","Diamniadio,
Dakar","13 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/68925586d2892d01fdb7da3c448938da/-/horizon-files-prod/ed/picture/q8vzejr9/26e85fc868a7942c13810c9931341f920b949e81.jpg"
"1705966036-194","https://www.expat-dakar.com/terrains-a-vendre?page=36","Terrain Vendre à Thies","225 m²","Thiès,
Thiès","3 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/da3eb04f935c081a692d677cb440a570/-/horizon-files-prod/ed/picture/qwe2kmzm/2bf6405d453c8b33f7d919e048264d6be83c7b72.jpg"
"1705966036-195","https://www.expat-dakar.com/terrains-a-vendre?page=36","Terrains à vendre Mbodjenne plage","348 m²","Mbodiene,
Thiès","15 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/0b44b82414b609fd85f6acce763779bb/or%3D90/horizon-files-prod/ed/picture/qq4d84d7/18f236419ab16b7809a1050e811758d431000cc1.jpg"
"1705966055-196","https://www.expat-dakar.com/terrains-a-vendre?page=35","Terrain à vendre à Keur Ndiaye Lô","150 m²","Keur ndiaye lô,
Dakar","12 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/2d3a8b29f419d403a316a6ec8503196a/-/horizon-files-prod/ed/picture/qngxzwxr/4903576ec5bf873b6e335a4b24b2311f39d68b5f.jpg"
"1705966055-197","https://www.expat-dakar.com/terrains-a-vendre?page=35","Terrain 611m Ngaparou","611 m²","Ngaparou,
Thiès","36 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/d803a110745ee60617a9b776961a2545/-/horizon-files-prod/ed/picture/q8v5nd69/d05cc1438ce76ec0898312cabcf9e88af84af9c2.jpg"
"1705966055-198","https://www.expat-dakar.com/terrains-a-vendre?page=35","","","","",""
"1705966055-199","https://www.expat-dakar.com/terrains-a-vendre?page=35","Terrain de 3 ha à Gorom 1","30,000 m²","Gorom,
Dakar","12 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/c28700530dc70e28cb68f83c455d401f/-/horizon-files-prod/ed/picture/q6xkv82g/49fb0cbd912964a6de6d9a5fefa5de3d423be989.jpg"
"1705966055-200","https://www.expat-dakar.com/terrains-a-vendre?page=35","Terrain en vente","180 m²","Keur Massar,
Dakar","5 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/fe5171f114408f0af99dcb68d778f965/-/horizon-files-prod/ed/picture/q0gw80qe/aa65f591577e47f44917924a8c16c8ccc4a6bb49.jpg"
"1705966055-201","https://www.expat-dakar.com/terrains-a-vendre?page=35","Opportunité Terrain pour les investisseurs","1,425 m²","Almadies,
Dakar","1 710 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/ad5cfd5bda9f9be783e051668777a81f/-/horizon-files-prod/ed/picture/q4486w9r/00ed292740d7626cd0fd8a33b8dae32484e8c710.jpg"
"1705966055-202","https://www.expat-dakar.com/terrains-a-vendre?page=35","Un terrain à vendre Niague","150 m²","Tivaouane peulh,
Dakar","9 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/9632b477fb4af2fd8f30b23ee41c3ec1/-/horizon-files-prod/ed/picture/qxj6r4d8/795094235d06db65e8c58f838f0c192ed19476e2.jpg"
"1705966055-203","https://www.expat-dakar.com/terrains-a-vendre?page=35","Terrain à vendre à DIASS","180 m²","Thiès,
Thiès","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/f371e6f46b8e0aae09601a45f752e78e/-/horizon-files-prod/ed/picture/q7850rq8/4dc840dcf29979018a8a371dc10353526e9d8aaa.jpg"
"1705966055-204","https://www.expat-dakar.com/terrains-a-vendre?page=35","Des terrains de 1000m2 titre foncier à vendre aux almadies","1,000 m²","Almadies,
Dakar","800 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/ccb9b0908fbd1a531e189482c7e47046/-/horizon-files-prod/ed/picture/q787we55/851b6df0d548540b942d551a0ce315560cdd80e0.jpg"
"1705966055-205","https://www.expat-dakar.com/terrains-a-vendre?page=35","Terrain à vendre almadies 2","150 m²","Almadies 2,
Dakar","35 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/4c8db0aa7c3d6ac425c18b6469b2f79f/-/horizon-files-prod/ed/picture/qpd6wmd0/0f574ec0b64d47614a3b60ef9897ef2ff9465b1b.jpg"
"1705966055-206","https://www.expat-dakar.com/terrains-a-vendre?page=35","Terrains de 300m2 à vendre à Warang","300 m²","Warang,
Thiès","7 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/14552191bda81cd3aa3e963b1203c924/-/horizon-files-prod/ed/picture/q2jqwwg8/b450bb92d1434f21136a6a5ca26e9832bc260e13.jpg"
"1705966055-207","https://www.expat-dakar.com/terrains-a-vendre?page=35","Terrains de 300 m2 à vendre à Joal","300 m²","Joal Fadiouth,
Thiès","20 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/4dc68e7b6b0de1d7fa47d087853cde0c/-/horizon-files-prod/ed/picture/qngxjkvr/24f6b873b235d3b145bd8dee4fa0d2c4b61315c9.jpg"
"1705966055-208","https://www.expat-dakar.com/terrains-a-vendre?page=35","Opportunité à saisir à Ngaparou","1,184 m²","Ngaparou,
Thiès","77 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/786a452a41a70c7abcc43f54c2f31986/-/horizon-files-prod/ed/picture/qxj2kxp4/6c85bfaacf08703732956344a68649faa4203ad4.jpg"
"1705966076-209","https://www.expat-dakar.com/terrains-a-vendre?page=34","Terrains lotissement Cité Douanes VDN3","150 m²","Guediawaye,
Dakar","29 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/34c3d3103bd08d63e5d462465eb56a1a/-/horizon-files-prod/ed/picture/qkrgqqmp/2766d8eba7fe60c2d8bd01a90fb5df01f1eed299.jpg"
"1705966076-210","https://www.expat-dakar.com/terrains-a-vendre?page=34","Terrain 611m Ngaparou","611 m²","Ngaparou,
Thiès","36 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/d803a110745ee60617a9b776961a2545/-/horizon-files-prod/ed/picture/q8v5nd69/d05cc1438ce76ec0898312cabcf9e88af84af9c2.jpg"
"1705966076-211","https://www.expat-dakar.com/terrains-a-vendre?page=34","","","","",""
"1705966076-212","https://www.expat-dakar.com/terrains-a-vendre?page=34","terrains à vendre à Thiès","225 m²","Thiès,
Thiès","600 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/bd43778cb5c8eb3c853036474d8093bf/-/horizon-files-prod/ed/picture/q44j0nre/3c7045645a1c2635b24fe41720ec4445621f9ce8.jpg"
"1705966076-213","https://www.expat-dakar.com/terrains-a-vendre?page=34","TERRAIN A VENDRE A SALY 500m2","514 m²","Saly,
Thiès","38 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/2411a59bc094948eb66091b6ecfb3a85/-/horizon-files-prod/ed/picture/q78502vj/3eb661acdda6e2b5b0ab9c15ad61c310caaa6117.jpg"
"1705966076-214","https://www.expat-dakar.com/terrains-a-vendre?page=34","Terrain à vendre à Somone","1,400 m²","Somone,
Thiès","72 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/4cce6e5dd79c929b43171e4f158a8800/-/horizon-files-prod/ed/picture/q9m9nqp7/bb54d10488092264003c044877fdee038af6a8dc.jpg"
"1705966076-215","https://www.expat-dakar.com/terrains-a-vendre?page=34","Champs à vendre","10,000 m²","Thiès,
Thiès","3 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/b2832f9be7562d2c4a5b8fd48509f1c1/-/horizon-files-prod/ed/picture/qxj6r64v/9d706bab76453d1aba9684cf23638e3e959bbc55.jpg"
"1705966076-216","https://www.expat-dakar.com/terrains-a-vendre?page=34","Terrain tf à vendre au point E","359 m²","Point-e,
Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/a9a162dc09fc53137e0aae7ad5173f88/-/horizon-files-prod/ed/picture/q4486vpe/812b3c75a2b5dd43c51ae4ee2f3b76d99fa99108.jpg"
"1705966076-217","https://www.expat-dakar.com/terrains-a-vendre?page=34","TERRAIN A VENDRE A LAC ROSE SUR LA ROUTE DE BENOBA","150 m²","Lac Rose,
Dakar","4 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/5fb099f4428a9d9ceead7aac5453fcc3/-/horizon-files-prod/ed/picture/q0gwkjrk/e1c0109b10289182787e35a734bf91425295706d.png"
"1705966076-218","https://www.expat-dakar.com/terrains-a-vendre?page=34","Terrain à vendre NDAYANE","150 m²","Thiès,
Thiès","4 750 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/dbe17b6504dff12716ee115a2d8641a4/-/horizon-files-prod/ed/picture/qdek9p85/698bc3190ae0e1684d44ab9d8eaa57d4c7615735.jpg"
"1705966076-219","https://www.expat-dakar.com/terrains-a-vendre?page=34","TERRAIN A VENDRE A DIASS YEBA SUR LE PEAGE","150 m²","Diass,
Thiès","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/705c1bb67c1ca6fa7747a8c9b5941df1/-/horizon-files-prod/ed/picture/q8v5mw6n/4e7bc5fd21c03fc9e4b6d167b03cd54c69e4c8d9.jpg"
"1705966076-220","https://www.expat-dakar.com/terrains-a-vendre?page=34","Terrain de 150 m² à Tivaouane Peulh","150 m²","Tivaouane peulh,
Dakar","12 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/f300d6339304adc29623ab7bda125205/-/horizon-files-prod/ed/picture/qwe2ndm5/98d77e7327a360926740f75d8d2f02b4fb39edae.jpg"
"1705966076-221","https://www.expat-dakar.com/terrains-a-vendre?page=34","Terrain 200m2 Diamniadio","200 m²","Diamniadio,
Dakar","12 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/71a212dfcc64674a5ee86d275ba9210b/-/horizon-files-prod/ed/picture/q785067z/79e91193a36a29bf3142b0f4b77e29d2d5f0ba24.png"
"1705966096-222","https://www.expat-dakar.com/terrains-a-vendre?page=33","Terrains lotissement Cité Douanes VDN3","150 m²","Guediawaye,
Dakar","29 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/34c3d3103bd08d63e5d462465eb56a1a/-/horizon-files-prod/ed/picture/qkrgqqmp/2766d8eba7fe60c2d8bd01a90fb5df01f1eed299.jpg"
"1705966096-223","https://www.expat-dakar.com/terrains-a-vendre?page=33","Terrain pied dans l'eau Virage","872 m²","Virage,
Dakar","700 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/a53bbf0c754848be210ea018141b85bb/-/horizon-files-prod/ed/picture/qkrg6dev/889ca5152bb9745e6b6894a0c3d9f01b726182e5.jpg"
"1705966096-224","https://www.expat-dakar.com/terrains-a-vendre?page=33","","","","",""
"1705966096-225","https://www.expat-dakar.com/terrains-a-vendre?page=33","Terrain à vendre au lac rose","8,756 m²","Lac rose,
Dakar","87 560 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/afb4dac2f706766e3ee3f7a023389121/-/horizon-files-prod/ed/picture/qvj8rmw/380e7499d4ae9805b1d50e3d445b411c2e76555c.jpg"
"1705966096-226","https://www.expat-dakar.com/terrains-a-vendre?page=33","A céder terrain pour projet avicole et agricole","32,000 m²","Mbodiene,
Thiès","70 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/be621aa06882a1b1ccc1b156ee4624dd/-/horizon-files-prod/ed/picture/qv4pz0xv/2ec0f917ff9466fc500b14a82060619730df4fde.jpg"
"1705966096-227","https://www.expat-dakar.com/terrains-a-vendre?page=33","Terrain titre foncier individuel","200 m²","Niague,
Dakar","15 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/9737b72234b4cbecfd243a1896b81c5d/-/horizon-files-prod/ed/picture/qv4eepkv/3e14a8f9e5987e966f17f0d15964ced6c1169a25.jpg"
"1705966096-228","https://www.expat-dakar.com/terrains-a-vendre?page=33","lots de 100 terrains de 200 m2 a vendre YEN KENE","200 m²","Mbour,
Thiès","2 100 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/ba636441a523869a0dfbc3c254568bd4/-/horizon-files-prod/ed/picture/qrzvjek4/b654b8f866a74686e118b5c1cce25aeb1e92abde.jpg"
"1705966096-229","https://www.expat-dakar.com/terrains-a-vendre?page=33","Terrains TF à vendre LAC ROSE","150 m²","Lac Rose,
Dakar","18 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/c60c20652bc73afc7086702780c88211/-/horizon-files-prod/ed/picture/qenqx06d/01d1a3310dfef21a3a8248aa9f6dd1017779c599.jpg"
"1705966096-230","https://www.expat-dakar.com/terrains-a-vendre?page=33","Terrain à vendre almadies corniche titre foncier","1,607 m²","Almadies,
Dakar","2 330 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/47bc4c06a9036c709386d22fb2faca71/-/horizon-files-prod/ed/picture/qnr9g59/2409d85c46b0a51e5c321366ae86df31676fb7f8.jpg"
"1705966096-231","https://www.expat-dakar.com/terrains-a-vendre?page=33","Terrain à vendre vue mer sur la petite corniche des Almadies","2,000 m²","Almadies,
Dakar","2 500 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/bbb3edf5d7f42e8d0cebfb0c75701c64/-/horizon-files-prod/ed/picture/qgq94e4e/bfb90ba632a5fc407fdf1d0dbc776d7151673db4.jpg"
"1705966096-232","https://www.expat-dakar.com/terrains-a-vendre?page=33","Terrains de 300 m2 à vendre à Ngueniene","300 m²","Ngueniene,
Thiès","3 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/ea2eb5a3cef6670d69ed903358e5dcf0/-/horizon-files-prod/ed/picture/qwe2k42j/d53b9ec746d64c62bf514cb65fe1370f3e9a7c75.jpg"
"1705966096-233","https://www.expat-dakar.com/terrains-a-vendre?page=33","Terrain en vente aux Maristes","2,735 m²","Hann maristes,
Dakar","780 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/c5f284394ad34c3f9e44a9fa2089f0cc/-/horizon-files-prod/ed/picture/qkrgxj9m/d86e4544aa2a1c75fffb5a5680ec4d73a786417b.jpg"
"1705966096-234","https://www.expat-dakar.com/terrains-a-vendre?page=33","Terrain 225m2 à vendre à bambilor","225 m²","Bambilor,
Dakar","6 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/61c4dd82cc6c9b84bf1b6c577506dcd0/-/horizon-files-prod/ed/picture/q787nqz5/cab82c7b48023668dac7d0f2449e6fd01c09fac4.jpg"
"1705966121-235","https://www.expat-dakar.com/terrains-a-vendre?page=32","Terrain à vendre à Keur Ndiaye Lô","150 m²","Keur ndiaye lô,
Dakar","12 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/2d3a8b29f419d403a316a6ec8503196a/-/horizon-files-prod/ed/picture/qngxzwxr/4903576ec5bf873b6e335a4b24b2311f39d68b5f.jpg"
"1705966121-236","https://www.expat-dakar.com/terrains-a-vendre?page=32","Terrain pied dans l'eau Virage","872 m²","Virage,
Dakar","700 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/a53bbf0c754848be210ea018141b85bb/-/horizon-files-prod/ed/picture/qkrg6dev/889ca5152bb9745e6b6894a0c3d9f01b726182e5.jpg"
"1705966121-237","https://www.expat-dakar.com/terrains-a-vendre?page=32","","","","",""
"1705966121-238","https://www.expat-dakar.com/terrains-a-vendre?page=32","Champs ngadiaga (noto) installation complète","","Notto,
Thiès","20 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/e1b3ff68b79cb6340efafc7ea8e0f840/-/horizon-files-prod/ed/picture/q8vvg4p9/5bec17531f82615f572b8730ff592471f3c9e02d.jpg"
"1705966121-239","https://www.expat-dakar.com/terrains-a-vendre?page=32","Terrain au Point E","380 m²","Point-e,
Dakar","420 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/3aa301a85803475a4ac95d54c906f391/-/horizon-files-prod/ed/picture/qm5pnr59/85fbb7311d313fd8251786893666870aa25f6eeb.jpg"
"1705966121-240","https://www.expat-dakar.com/terrains-a-vendre?page=32","Terrain de 600m2 à vendre aux almadies","600 m²","Plateau,
Dakar","500 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/e4c06626ca30c49e2badf6dfd4b31dfe/-/horizon-files-prod/ed/picture/q8v5k25r/6878d046202783a5b9efdc1575da73a490a5bc6d.jpg"
